,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
,基本,プロテクトプラス,なし,3,効果参照,自動成功,自身,なし,2,「種別：防御」のアーツと同時に使用する。そのアーツを「対象：範囲」に変更する。1ラウンドLv回。,ｻﾎﾟｰﾀｰ
,基本,ヒールプラス,なし,3,効果参照,自動成功,自身,なし,2,「種別：回復」のアーツと同時に使用する。そのアーツを「対象：範囲」に変更する。1ラウンドLv回。,ｻﾎﾟｰﾀｰ
,基本,妙計奇策,なし,1,マイナー,自動成功,自身,なし,2,取得時に、暴走と翻弄以外のBSひとつを選択する。そのメインプロセスの間、あなたが行なう攻撃で1点でもダメージを与えた場合、さらに選択したBSを与える。《妙計奇策：重圧》のように記述し、BS毎に別のアーツとして取得できる。,ｻﾎﾟｰﾀｰ
,基本,ユニゾンアタック,支援,5,DR直前,自動成功,単体,シーン,3,取得時に【基本能力値】ひとつを選択する。あなた以外の対象が行なう攻撃のダメージを+[選択した【基本能力値】+(Lv)D6]する。あなたは未行動でなければ使用できず、使用後は行動済みとなる。,ｻﾎﾟｰﾀｰ
,基本,レスキューアシスト,回復,3,イニシアチブ,自動成功,単体,シーン,2,対象の受けているBSを全て回復する。1ラウンドLv回。,ｻﾎﾟｰﾀｰ
DE,基本,一気呵成,なし,1,効果参照,自動成功,単体,シーン,4,同意した対象が攻撃を行なう直前に使用する。その攻撃を「対象：範囲」に変更する。1ラウンド1回。,ｻﾎﾟｰﾀｰ
DE,基本,クイックサポート,なし,1,イニシアチブ,自動成功,自身,なし,5,あなたは即座にメインプロセスを1回行なう。この時、行動済みでもメインプロセスを行え、メインプロセスを行っても行動済みにならない。ただし、このメインプロセスで攻撃を行なうことはできない。1シーンに1回まで使用できる。,ｻﾎﾟｰﾀｰ
DE,基本,軍神,なし,5,メジャー,自動成功,範囲,シーン,3,そのシーンの間、同意した対象が行なう攻撃のダメージを+[Lv×3]する。,ｻﾎﾟｰﾀｰ
DE,基本,救いの御手,魔獣,1,常時,自動成功,自身,なし,2,あなたが罪の効果「◆達成値増大」を、愛を使用して他者に適用した場合、その効果を+3D6から+4D6に変更する。,ｻﾎﾟｰﾀｰ
DE,基本,ダメージコントロール,なし,3,DR直後,自動成功,単体,シーン,2,対象が行なったDRのうち、あなたが選択した最大[Lv×2]個までのダイスを振りなおさせる。1ラウンド1回。,ｻﾎﾟｰﾀｰ
DE,基本,チェックメイト,なし,1,メジャー,自動成功,単体,シーン,3,対象が次に行なう攻撃のダメージに対しては、A値を0として扱う。この効果はシーンが終了するか、対象が一度でも攻撃を行なうと解除される。,ｻﾎﾟｰﾀｰ
DE,基本,露払い,なし,5,マイナー,自動成功,自身,なし,2,そのメインプロセスの間、あなたがクラードに与えるダメージを+[Lv×4]し、1点でもダメージを与えた場合、さらに狼狽を与える。,ｻﾎﾟｰﾀｰ
DE,基本,電撃展開,なし,3,セットアップ,自動成功,Lv体,シーン,3,同意した対象は即座に通常移動か離脱移動を行なう。移動先は対象それぞれが決定すること。,ｻﾎﾟｰﾀｰ
DE,基本,滅びの宣告,支援,1,メジャー,効果参照,単体,シーン,5,【白兵値】または【射撃値】で対象の【回避値】と対決を行なう。あなたが勝利した場合、次に対象が攻撃から受けるダメージを+[この判定の達成値]する。この効果はシーンが終了するか、1回でも適用されると解除される。このアーツはいかなる効果でも対象を単体から変更できない。,ｻﾎﾟｰﾀｰ
DE,基本,導きの言葉,なし,3,セットアップ,自動成功,単体,シーン,2,そのラウンドの間、対象の【行動値】を+「Lv+1」D6する。このアーツはあなた自身を対象にできない。,ｻﾎﾟｰﾀｰ
DE,基本,モーメントレスト,回復,5,クリンナップ,自動成功,シーン,シーン,4,対象の【FP】を(Lv)D6点回復する。このアーツのLvが3以上の場合、さらに対象の受けているBSを一つ回復する。,ｻﾎﾟｰﾀｰ
DE,基本,ラストチャンス,なし,1,効果参照,自動成功,自身,なし,2,あなたが「判定を振りなおさせる」という効果を含むアーツを使用し、振りなおしたダイス目の合計が降りなおす前以下だった時に使用する。その判定の達成値に+2する。,ｻﾎﾟｰﾀｰ
DE,基本,ロストチャンス,なし,1,効果参照,自動成功,自身,なし,2,あなたが「判定を振りなおさせる」という効果を含むアーツを使用し、振りなおしたダイス目の合計が降りなおす前以上だった時に使用する。その判定の達成値に-2する。,ｻﾎﾟｰﾀｰ
DE,基本,逆転の秘策,20,1,効果参照,自動成功,単体,シーン,罪,対象が「タイミング：常時」を除く「判定値：自動成功」のアーツを使用した直後に使用する。そのアーツの効果を打ち消す(使用自体はなされたとみなす)。1シナリオ1回。ドミニオンアーツに対しては使用できない。,ｻﾎﾟｰﾀｰ
DE,基本,最後の希望,純血,1,判定直後,自動成功,単体,シーン,愛,あなた以外の対象が行なった判定をクリティカルに変更する。1シナリオ1回。,ｻﾎﾟｰﾀｰ
DO,基本,アシストフォーム,魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたが使用する《アタックアシスト》《ディフェンスアシスト》の効果を+(Lv)D6する。ただし、あなた自身を対象にする場合はこの効果は適用されない。あなたの《魔獣化》のコストは+Lvされる。,ｻﾎﾟｰﾀｰ
DO,基本,スーパードクター,魔獣,3,常時,自動成功,自身,なし,2,《魔獣化》中、あなたが使用する「種別：回復」のアーツまたはアイテムの効果で回復する【FP】を+(Lv+1)D6する。,ｻﾎﾟｰﾀｰ
DO,基本,絶対の隙,なし,3,メジャー,効果参照,単体,シーン,4,任意の【基本能力値】で対象の同じ【基本能力値】と対決し、あなたが勝利した場合、対象が次に行なうドッジの達成値を-10する。この効果はシーンが終了するか、1回でも適用されると解除される。このアーツはいかなる効果でも対象を単体から変更できない。1シーンLv回。,ｻﾎﾟｰﾀｰ
DO,基本,タクティカルチェイス,なし,3,効果参照,自動成功,単体,シーン,3,あなたが行なった攻撃が、対象に命中した直後に使用する。そのラウンドの間、あなた以外のキャラクターによって対象に与えるダメージを+[Lv]D6する。,ｻﾎﾟｰﾀｰ
DO,基本,ディレイトラップ,なし,3,セットアップ,自動成功,範囲,シーン,3,そのラウンドの間、対象の【行動値】を-(Lv)D6する(最低0)。,ｻﾎﾟｰﾀｰ
DO,基本,ドッジアシスト,支援、防御,1,メジャー,自動成功,単体,なし,3,そのシーンの間、対象が行なうドッジの達成値を+2する。,ｻﾎﾟｰﾀｰ
DO,基本,破壊の導き手,魔獣,1,常時,自動成功,自身,なし,2,あなたが罪の効果「◆ダメージ増強」を、愛を使用して他者に適用した場合、その効果を+5D6から+7D6に変更する。,ｻﾎﾟｰﾀｰ
DO,基本,ビーストアウェイク：S,魔獣,1,マイナー,自動成功,自身,なし,効果参照,このアーツのコストは[1D6+5]となり、使用時に決定される。そのラウンドの間、あなたが使用する「種別：回復」「種別：防御」のアーツの効果を+[このアーツのコスト]し、あなたは放心を受ける。,ｻﾎﾟｰﾀｰ
DO,基本,触れ得ざる砦,支援、防御,5,メジャー,自動成功,単体,シーン,3,そのラウンドの間、あなた以外の対象のA値を+[Lv×3]する。,ｻﾎﾟｰﾀｰ
DO,基本,リジェネレーション,魔獣、回復,3,メジャー,自動成功,単体,シーン,5,対象のかりそめの死を回復し、【FP】を1点まで回復する。対象は人間性1D6点失う。1シーンLv回。このアーツは対象を単体から変更できない。,ｻﾎﾟｰﾀｰ
DO,基本,エゴアンプリファイア,20,3,効果参照,自動成功,自身,なし,効果参照,《アタックアシスト》または《ユニゾンアタック》と同時に使用する。[Lv×5+5]点以下の人間性をコストとして消費し、あなた以外の対象が与えるダメージに+[消費したコスト]する。1シーン1回。,ｻﾎﾟｰﾀｰ
DO,基本,戦場一変,20,3,効果参照,自動成功,自身,なし,4,「対象：自身」以外のサポーターのアーツと同時に使用する。そのアーツと同時に使用する。そのアーツを「対象：シーン」「射程：シーン」に変更する。1シナリオLv回まで使用できる。,ｻﾎﾟｰﾀｰ
DO,基本,危機払拭,0,1,効果参照,自動成功,単体,シーン,愛,あなたが使用したアーツの効果で、対象の【FP】が回復したり、かりそめの死や真の死から回復した直後に使用する。対象の【FP】を完全に回復する。このアーツの対象は単体から変更できない。,ｻﾎﾟｰﾀｰ
DO,基本,ファイナルメソッド,0,1,効果参照,自動成功,自身,なし,愛,いつでも使用できる。あなたが取得しているサポーターのアーツ、または「種別：回復」か「種別：支援」のアーツひとつの使用回数を1回分回復する。1シナリオ1回。,ｻﾎﾟｰﾀｰ
DO,基本,究極の奇策,純血,1,効果参照,自動成功,自身,なし,10,《逆転の秘策》と同時に使用する。あなたはその効果をドミニオンアーツにも適用できる。1シナリオに1回。,ｻﾎﾟｰﾀｰ
AD,基本,今だ、やれッ！,支援,1,DR直前,自動成功,単体,至近,罪,対象がそのDRで受けるダメージを+[あなたの最も高い【基本能力値】×3]する。ただし、そのダメージは同時にあなたにも適用される。1シナリオ1回。あなた自身が行なう攻撃のDRには使用できない。,ｻﾎﾟｰﾀｰ
AD,基本,ペネトレイション,なし,1,常時,自動成功,自身,なし,1,あなたが使用する、A値やG値を低下させる効果に、A値やG値を0としてダメージを算出する効果が重ねて適用された場合、そのダメージを+[低下させたA値またはG値の合計](最大+10)する。,ｻﾎﾟｰﾀｰ
AD,基本,ポジションタクティクス,なし,1,効果参照,自動成功,単体,シーン,2,自身以外の対象が移動を行なった直後に使用する。そのラウンド中、その対象が行なう攻撃のダメージを+[もっとも高い【能力値B】]する。,ｻﾎﾟｰﾀｰ
AD,基本,ムーブアシスト,なし,3,イニシアチブ,自動成功,単体,シーン,2,同意した対象は即座に通常移動か離脱移動を行なう。移動先は対象が決定すること。1ラウンドLv回。,ｻﾎﾟｰﾀｰ
AD,基本,希望の旗印,純血、魔獣,1,常時,自動成功,自身,なし,2,解放状態の間、あなたは《ワンモアチャンス》を使用回数に関係なく、1回の判定につき1回まで使用できるようになる(つまり、1ラウンドに何回でも使用できる)。,ｻﾎﾟｰﾀｰ
