,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
,フルメタル,百万馬力,なし,1,DR直前,自動成功,自身,なし,2,あなたが行なう白兵攻撃のダメージに+[あなたが装備している防具ひとつのA値]する。,ﾌﾙﾒﾀﾙ
,フルメタル,ブースターダッシュ,魔獣,1,ムーブ,自動成功,自身,なし,2,あなたは飛行状態として通常移動か離脱移動を行なう。このメインプロセスの間、あなたが行なう命中判定の達成値を+1する。,ﾌﾙﾒﾀﾙ
,フルメタル,フォームチェンジ,魔獣,3,マイナー,自動成功,自身,なし,2,使用時に、あなたの白兵攻撃のダメージ、射撃攻撃のダメージ、A値、装備中アイテムのひとつのG値からひとつ選択する。そのシーンの間、選択した数値を+5する。1シナリオにLv回まで使用できる。,ﾌﾙﾒﾀﾙ
,フルメタル,マシンアシスト,なし,3,判定直前,自動成功,単体,シーン,3,対象が行なう判定の達成値に+3する。1シーンにLv回まで使用できる。,ﾌﾙﾒﾀﾙ
,フルメタル,リミッター解除,魔獣,1,解放状態,自動成功,自身,なし,4,あなたが解放状態となった直後に使用する。その解放状態の間、あなたのA値を+【技術B】する。効果中、あなたは常に暴走を受けているものとして扱う。これはあらゆる効果で回復しない。,ﾌﾙﾒﾀﾙ
,フルメタル,リモートコントロール,ア,1,常時,自動成功,自身,なし,3,あなたが常備化している武器か乗り物ひとつを選択する。選択したアイテムを「射程：シーン」に変更し、攻撃力に+1D6する。選択したアイテムは《魔獣化》中のみに攻撃に使用でき、あなたの《魔獣化》のコストは+2される。,ﾌﾙﾒﾀﾙ
,フルメタル,アルティメットモーション,20、攻撃、魔獣,1,メジャー,白兵、射撃,単体,武器,5,取得時に白兵攻撃か射撃攻撃を選択する。対象に選択した攻撃を行なう。この攻撃のダメージに+【技術】する。1シーンに1回まで使用できる。,ﾌﾙﾒﾀﾙ
,フルメタル,真理のe,純血,1,効果参照,自動成功,自身,なし,愛,あなたにダメージが適用された直後に使用する。そのダメージを0にする。1シナリオに1回まで使用できる。,ﾌﾙﾒﾀﾙ
DO,フルメタル,イージスリフレクター,魔獣,3,リアクション,自動成功,自身,なし,3,白兵攻撃か射撃攻撃に対してガードを行なう。そのガードの間、あなたのG値を+[Lv×3]し、攻撃の終了後、攻撃側のキャラクターはこの効果で上昇したG値と同点の【FP】を失う,ﾌﾙﾒﾀﾙ
DO,フルメタル,∞ポテンシャル,なし,1,常時,自動成功,自身,なし,2,《リミッター解除》の効果中、あなたが行なう命中判定とドッジの達成値を+2する。あなたがフルメタル以外のブラッドを持たない場合《リミッター解除》によるダメージへの修正を+【技術B】から+【技術】に変更する。,ﾌﾙﾒﾀﾙ
DO,フルメタル,限られし命,なし,1,常時,自動成功,自身,なし,4,あなたの【基本能力値】か【戦闘能力値】からひとつを選択し、+2する。あなたは人間性が10以下でエンディングフェイズを迎えた場合真の死となる。,ﾌﾙﾒﾀﾙ
DO,フルメタル,機械仕掛けの魔法,なし,5,常時,自動成功,自身,なし,2,あなたが取得している「種別：魔法」の武器またはアーツからLv個選択する。そのダメージの基準と属性および効果文中に書かれている【基本能力値】は全て【技術】、【能力値B】は【技術B】に変更される。プリプレイに選択し直しても良い。,ﾌﾙﾒﾀﾙ
DO,フルメタル,フィジカルスクリーン,魔獣、防御,5,DR直後,自動成功,単体,シーン,2,対象が受けるダメージを-[【技術B】+(Lv)D6]する。1ラウンドに1回まで使用できる。,ﾌﾙﾒﾀﾙ
DO,フルメタル,フルファイア,魔獣、攻撃,3,メジャー,射撃,単体,武器,6,対象に射撃攻撃を行なう。この時、装備中の射撃武器から[Lv×2]個まで選択し(その攻撃に使用したものは選択できない)、DRに+[選択した数×4]する。選択した武器はそのシナリオ中使用できない。1シーンに1回まで使用できる。,ﾌﾙﾒﾀﾙ
DO,フルメタル,ブレイクブースト,魔獣、攻撃,3,メジャー,白兵,単体,武器,3,対象に白兵攻撃を行なう。この攻撃のダメージに+[Lv×3]し、1点でもダメージを与えた対象にさらに狼狽を与える。素手による攻撃の場合、ダメージにさらに+3する。,ﾌﾙﾒﾀﾙ
DO,フルメタル,リミテッドアクセル,純血、魔獣,1,イニシアチブ,自動成功,自身,なし,罪,あなたは即座にメインプロセスを1回行なう。このメインプロセス中、あなたが行なう命中判定の達成値に+2する。あなたが未行動の場合、このメインプロセスを行っても行動済みにはならない。1シナリオに1回まで使用できる。,ﾌﾙﾒﾀﾙ
サイボーグ - なんらかの改造を施されて強化された人間(もしくは魔物)をあらわすルーツ。,,,,,,,,,,,
,サイボーグ,強化処置,自動、魔獣,1,常時,自動成功,自身,なし,3,《魔獣化》の効果中、あなたの命中判定とドッジの達成値を+2する。あなたの《魔獣化》コストは+2される。,ｻｲﾎﾞｰｸﾞ
,サイボーグ,心の壁,なし,1,常時,自動成功,自身,なし,0,あなたは重圧と狼狽を受けない。このアーツを取得した場合、あなたの【感情】は-2される。,ｻｲﾎﾞｰｸﾞ
,サイボーグ,サイバーリンク,なし,1,判定直前,自動成功,自身,なし,2,あなたは射撃攻撃の命中判定を【技術】で行なえる。,ｻｲﾎﾞｰｸﾞ
,サイボーグ,パーフェクトソルジャー,攻撃、魔獣,1,メジャー,【白兵】【射撃】,単体,武器,2,取得時に白兵、射撃、乗り物からひとつ選択する。対象に選択した種別の武器による白兵攻撃か射撃攻撃を行なう。この攻撃の命中判定の達成値に+2、ダメージに+1D6する。,ｻｲﾎﾞｰｸﾞ
,サイボーグ,ゴッドスピード,純血、魔獣,3,マイナー,自動成功,自身,なし,3,そのメインプロセスの間、あなたが行なう攻撃を「対象：範囲」に変更し、ダメージに+【技術】する。1シーンにLv回まで使用できる。,ｻｲﾎﾞｰｸﾞ
DE,サイボーグ,経歴抹消,なし,1,常時,自動成功,自身,なし,3,あなたは放心を受けず、あなたが受ける【社会】属性のダメージを常に5点軽減する。あなたを対象に情報収集判定が行なわれる場合、その難易度を+5する。このアーツを取得した場合、あなたの【社会】は-2される。,ｻｲﾎﾞｰｸﾞ
DE,サイボーグ,ハードワイヤード,なし,1,セットアップ,自動成功,自身,なし,4,あなたは即座にメインプロセスを行なう。未行動でなければ使用できず、メインプロセス後、あなたは行動済みとなる。1シーンに1回まで使用できる。,ｻｲﾎﾞｰｸﾞ
DO,サイボーグ,完全義体化,なし,3,効果参照,自動成功,単体,至近,4,舞台裏の処理で使用する。あなたの【FP】を完全に回復し、BSをすべて回復する。重圧を受けていても使用でき、1シナリオにLv回まで使用できる。,ｻｲﾎﾞｰｸﾞ
DO,サイボーグ,コールドハート,なし,1,常時,自動成功,自身,なし,3,あなたは翻弄と恐怖を受けない。あなたは暴走を受けた場合、人間性を1D6点失う。,ｻｲﾎﾞｰｸﾞ
DO,サイボーグ,サイバーアップ,なし,1,常時,自動成功,自身,なし,4,あなたの【肉体】と【技術】を+1する。あなたが行なう堕落判定の達成値は-3される。,ｻｲﾎﾞｰｸﾞ
DO,サイボーグ,人造救世主,なし,1,常時,自動成功,自身,なし,4,あなたの【加護】を+2し、「種別：神聖」としても扱われる。あなたがファンブルを発生させた場合、あなたは暴走を受ける。,ｻｲﾎﾞｰｸﾞ
DO,サイボーグ,リブートボディ,0,1,クリンナップ,自動成功,自身,なし,8,あなたは取得している《完全義体化》を即座に使用できる。1シーン1回まで使用できる。,ｻｲﾎﾞｰｸﾞ
GF235,サイボーグ,完全調和生体義体,なし,1,常時,自動成功,自身,なし,2,あなたは「種別：機械」の対象に対してのみ発生する効果や増価するダメージなどの影響を受けない。また、あなたの【行動値】を+3する。,ｻｲﾎﾞｰｸﾞ
GF235,サイボーグ,グラビティスレイブ,魔獣,3,DR直後,自動成功,自身,なし,2,あなたが同一エンゲージの対象のみに行なう攻撃のダメージ、またはあなたが攻撃から受けたダメージを±【技術B】する。1ラウンド[Lv+1]回まで使用可能。また、あなたは《魔獣化》中常に飛行状態として扱われる。,ｻｲﾎﾞｰｸﾞ
自動人形 - 心魂機関と呼ばれる永久機関で自律活動するメカニックたちをあらわすルーツ。いわゆるアンドロイドやロボット。,,,,,,,,,,,
,自動人形,心魂機関,自動,5,常時,自動成功,自身,なし,2,あなたのA値を+[Lv×2]する。あなたのプライマリブラッドがフルメタルの場合更にあなたの【感情】を+2,自動人形
,自動人形,戦機女のたしなみ,攻撃、魔獣,3,メジャー,射撃,効果参照,武器,3,[Lv+2]体の対象に射撃攻撃を行なう、この攻撃のダメージに+【感情B】する。,自動人形
,自動人形,アイアンメイデン,なし,1,効果参照,自動成功,自身,なし,1,カバーリングと同時に使用する。この時、あなたはカバーリングを行っても行動済みにならず、行動済みでもカバーリングを行える。,自動人形
,自動人形,ヒートハート,なし,1,DR直前,自動成功,自身,なし,2,あなたが行なうDRに+【感情B】する。あなたが解放状態の場合この効果は+【感情】に変更される。,自動人形
,自動人形,限界突破,純血、支援,1,DR直後,自動成功,単体,シーン,4,対象が行なうDRにダメージを+[【感情】+3D6]し、防御側のA値を０としてダメージを算出する。ただし、そのDRの効果はあなたにも適用される。1シナリオに1回まで使用できる。,自動人形
DE,自動人形,心魂兵装,ア,5,常時,自動成功,自身,なし,2,あなたが常備化している武器からLv個まで選択する。そのダメージの基準と属性を【感情】に変更し、攻撃力と行動値修正に+2する。プリプレイに選択し直しても良い。,自動人形
DE,自動人形,作られた美,なし,1,判定直前,自動成功,自身,なし,1,あなたは【社会】による判定を【技術】で行える,自動人形
DO,自動人形,エネルギーサプライ,魔獣、支援,3,DR直前,自動成功,単体,シーン,3,あなた以外の同意した対象が行なうDRに+【感情B】+1d6する。あなたが対象への絆を持つ場合、この効果は+【感情】+1d6に変更される。１ラウンドにLv回まで使用できる。,自動人形
DO,自動人形,制圧射撃,なし,3,セットアップ,自動成功,Lv体,武器,4,そのラウンドの間、対象がムーブアクションで移動を行なった場合、対象はそのメインプロセス中にマイナーアクションを行えない。あなたが射撃武器を装備していないければ使用できず、使用後は射撃武器ひとつがそのラウンド中攻撃に使用できなくなる。,自動人形
DO,自動人形,人間回路,なし,1,効果参照,自動成功,自身,なし,2,あなたがメインプレイ中に絆を取得した直後に使用する。あなたの【基本能力値】か【戦闘能力値】からひとつ選択し、そのシナリオ中に選択した判定値で行なう判定の達成値に+1する。この効果は3回まで(同じ判定を選択した場合+2まで)重複する。,自動人形
DO,自動人形,マシンフュージョン,魔獣,1,マイナー,自動成功,単体,至近,3,「種別：機械」を持つか、「種別：乗り物」を装備中の、同意した対象にのみ使用できる。あなたは対象と同調状態になり、同調状態の間、対象が行なう命中判定とドッジの達成値に+2する。この効果は対象かあなたがマイナーアクションが解除するまで持続する。,自動人形
DO,自動人形,鋼の殉教者,0,1,効果参照,自動成功,単体,シーン,愛,対象にダメージが適用される直前に使用する。そのダメージは対象の代わりにあなたに適用される。1シナリオに1回まで使用でき、あなたが対象への絆を持つ場合「コスト：なし」として使用できる。,自動人形
造られた怪物 - 生物をベースとして作られたモンスターたちをあらわすルーツ。キメラ、フランケンシュタインの怪物、ゾンビ、ホムンクルスなど。,,,,,,,,,,,
,造られた怪物,人造の魔,自動、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたの【FP】とFP最大値を+[Lv×10]する。あなたの《魔獣化》のコストは+2される。,造られた怪物
,造られた怪物,イモータルボディ,防御,3,DR直後,自動成功,自身,なし,3,あなたが受けるダメージを-[【肉体】+1D6]する。1ラウンドにLv回まで使用できる。,造られた怪物
,造られた怪物,能力移植,コピー,効果参照,効果参照,効果参照,効果参照,効果参照,効果参照,他のブラッドまたはルーツから、「種別：攻撃」「種別：防御」「種別：回復」のアーツひとつを選択し、コピーする。その効果文中に書かれている【基本能力値】はすべて【肉体】、【能力値ボーナス】は【肉体B】に変更される。コピーしたアーツは使用するたびに【FP】を3点失う。,造られた怪物
,造られた怪物,フェノメナルオーガン,攻撃,3,メジャー,【肉体】,範囲,シーン,3,習得時に、暴走と翻弄以外のBSひとつを選択する。対象に[【肉体】+(Lv+1)D6]点のダメージを与える特殊攻撃を行なう。対象は【肉体】でドッジを行なう。1点でもダメージを与えた場合、さらに選択したBSを与える。,造られた怪物
,造られた怪物,蘇りし記憶,純血,1,判定直後,自動成功,単体,シーン,2,対象が何らかの判定を行なった直後に使用する。その判定の達成値を+[あなたが持つ絆の数]する・1シナリオに1回まで使用できる。,造られた怪物
DE,造られた怪物,ヴァイオレントパワー,魔獣,1,マイナー,自動成功,自身,なし,3,そのメインプロセスの間、あなたが行なう白兵攻撃のダメージに+【肉体】する。攻撃後、あなたは2D6点の【FP】を失う。,造られた怪物
DE,造られた怪物,特殊因子,魔獣,1,常時,自動成功,自身,なし,3,取得時に【基本能力値】か【戦闘能力値】からひとつ選択し、「種別：機械」以外の種別からひとつ選択する。《魔獣化》の効果中、選択したものが【行動値】なら+5、それ以外なら+2し(【FP】は変化しない)、あなたは選択した種別としても扱われる。,造られた怪物
DO,造られた怪物,おれはみかただ,なし,1,マイナー,自動成功,範囲,至近,0,あなたが迫害状態でのみ使用できる。対象はあなたのことを信じ、あなたに恐れや不信を抱かなくなる。具体的な影響はGMが決定すること。また、あなたの迫害状態は解除する。1シナリオに1回まで使用できる。,造られた怪物
DO,造られた怪物,悲哀の怪物,なし,5,常時,自動成功,自身,なし,3,あなたは変異が発生した場合、即座に迫害状態となる。あなたが受ける【社会】属性以外のダメージは常に-[【肉体B】+Lv]される。,造られた怪物
DO,造られた怪物,不可視化,魔獣,1,マイナー,自動成功,自身,なし,2,あなたはメインプロセス中、隠密状態となる。敵とエンゲージ内でも隠密状態になれる。この隠密状態の間、あなたは攻撃の命中判定を【肉体】で行なえる。,造られた怪物
DO,造られた怪物,レイジングスマッシュ,魔獣,1,DR直前,自動成功,自身,なし,8,あなたが行なう白兵攻撃のDRに+[30-あなたの人間性](最大20)する。1シーンに1回まで使用できる。,造られた怪物
DO,造られた怪物,ファイナルレイジ,0,1,効果参照,自動成功,自身,なし,罪,《レイジングスマッシュ》と同時に使用する。その効果を最大30に変更し、そのダメージはアーツやアイテムの効果で軽減できなくなる。1シナリオに1回まで使用できる。,造られた怪物
ギアライダー - 自分にしか操縦できない“巨大ロボット”を駆使して魔物と対峙するものたちをあらわすルーツ(『ディケイド』にて追加)。,,,,,,,,,,,
DE,ギアライダー,ギア所持,自動、ア,1,常時,自動成功,自身,なし,5,P116の「種別：乗り物(ギア)」からひとつ選択肢、常備化する。「種別：ギア」のアイテムは《魔獣化》の使用と同時に即座に装備と交換が可能で、《魔獣化》中のみ使用でき、装備中は「種別：巨大」として扱われる。あなたがギアライダー以外のフルメタルのルーツを持たない場合、あなたはフルメタルのアーツを「種別：乗り物(ギア)」を装備中しか使用できない。,ｷﾞｱﾗｲﾀﾞｰ
DE,ギアライダー,神か悪魔か,魔獣,1,効果参照,自動成功,効果参照,シーン,4,「種別：乗り物(ギア)」を装備中、いつでも使用できる。シーン内の建造物や山などをひとつ破壊する。あるいは逆にそれらが破壊されることを防ぐ。1シーンに1回まで使用でき、GMはドミニオンアーツの影響などで破壊や破壊防止ができないとしてもよいが、その場合は使用回数に含めない。,ｷﾞｱﾗｲﾀﾞｰ
DE,ギアライダー,巨神撃,攻撃、魔獣,1,メジャー,【白兵】【射撃】,単体,武器,3,対象にギアライダー装備による白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+2D6する。,ｷﾞｱﾗｲﾀﾞｰ
DE,ギアライダー,巨大なる盾,魔獣,1,効果参照,自動成功,単体,至近,3,対象がガードを行なう直前に使用する。そのDRの間、対象のG値を+[あなたが装備中の「種別：ギア」のアイテムひとつのG値]する。1メインプロセスに1回まで使用できる。,ｷﾞｱﾗｲﾀﾞｰ
DE,ギアライダー,マッハドッジ,魔獣,3,判定直前,自動成功,自身,なし,3,あなたはドッジを【技術】+2で行なう。「種別：乗り物(ギア)」を装備中、1ラウンドにLv回まで使用できる。,ｷﾞｱﾗｲﾀﾞｰ
DE,ギアライダー,ユニゾンライド,魔獣,1,効果参照,自動成功,単体,至近,2,「種別：乗り物(ギア)」の装備と同時に使用する。同意した対象はあなたと同調状態になる。この同調状態の間、対象はあなたが装備中の防具以外のギアライダー装備を自身も装備しているものとして攻撃とガードにしようできる。この効果は「種別：乗り物(ギア)」の装備が解除されるか対象がマイナーアクションで解除するまで持続する。,ｷﾞｱﾗｲﾀﾞｰ
DE,ギアライダー,ギガフュージョン,20、魔獣,3,マイナー,自動成功,自身,なし,6,そのシーンの間、あなたが「種別：乗り物(ギア)」を装備して行なうあらゆる判定の達成値に+2し、攻撃で与えるダメージを+【技術】する。1シナリオにLv回まで使用できる。,ｷﾞｱﾗｲﾀﾞｰ
DE,ギアライダー,悪魔のZ,純血、魔獣,1,常時,自動成功,自身,なし,4,取得時に【基本能力値】ひとつを選択する。あなたが「種別：乗り物(ギア)」を装備中、選択した【基本能力値】を+3する(【FP】は変化しない)。,ｷﾞｱﾗｲﾀﾞｰ
DO,ギアライダー,ギアウェポンズ,ア,5,常時,自動成功,自身,なし,2,ギアライダーの装備から、常備化に必要な経験点の合計が[Lv×10+5]点以下の任意のアイテムを取得する。プリプレイに選択し直してもよい。,ｷﾞｱﾗｲﾀﾞｰ
DO,ギアライダー,機体改造,ア,5,常時,自動成功,自身,なし,2,あなたが常備化している「種別：乗り物(ギア)」ひとつに以下のいずれかの修正を与える。修正ごとに別のアーツとして習得可能。・装備中「種別：ギア」の武器で行なう攻撃ダメージ+[Lv×2]　・「行動値」+[Lv×3]　・装備中A値+[Lv×2],ｷﾞｱﾗｲﾀﾞｰ
DO,ギアライダー,熱血必中,魔獣,1,効果参照,自動成功,自身,なし,罪,あなたが《巨神撃》を使用する直前に使用する。その攻撃の命中判定の達成値に+10、DRに+20する。1シナリオに1回まで使用できる。,ｷﾞｱﾗｲﾀﾞｰ
DO,ギアライダー,神機覚醒,0,1,イニシアチブ,自動成功,自身,なし,愛,そのシーンの間、あなたが「種別：乗り物(ギア)」に搭乗中に行なう、あらゆる判定のクリティカル値を-1する。1シナリオに1回まで使用できる。,ｷﾞｱﾗｲﾀﾞｰ
DO,ギアライダー,アナザーギア,純血、ア,3,常時,自動成功,自身,なし,2,あなたは《ギア所有》の効果で「種別：乗り物(ギア)」を[Lv+1]体取得できる。《魔獣化》の効果中、取得した乗り物はマイナーアクションで即座に交換できる。《機体改造》の効果はそれぞれの乗り物ごとに別々に効果を選択し適用できる。,ｷﾞｱﾗｲﾀﾞｰ
トイロボ - さまざまな武装を備え、外部駆動・遠隔操作が可能な10～15cmほどのロボット玩具を自在に扱う者たち(トイロボマスター)、または自我を得たロボット玩具本体(トイロボ)。(『アドヴェント』にて追加)。,,,,,,,,,,,
AD,トイロボ,小さな戦機,選択,5,常時,自動成功,自身,なし,3,あなたは鋼の相棒(『DCD』P115)を取得し、(取得に必要なコストは不要)、その効果にさらに+5する。あなたが「種別：巨大」でない間、あなたの【行動値】を+[Lv×2]し、ムーブアクションで離脱移動を行なえる。あなたは《トイロボマスター》を取得できない。,ﾄｲﾛﾎﾞ
AD,トイロボ,トイロボマスター,選択,3,常時,自動成功,自身,なし,2,あなたの【白兵値】【射撃値】【回避値】からLv個選択し+2する。マイナーアクションを使用することで選択し直してもよい。あなたは《小さな戦機》を取得できない。,ﾄｲﾛﾎﾞ
AD,トイロボ,アップグレードカスタム,魔獣,1,常時,自動成功,自身,なし,0,「種別：攻撃」「種別：回復」からひとつ選択する。《魔獣化》中、選択したアーツの効果を+1D6する。あなたが《小さな戦機》を取得しているなら「種別：防御」、《トイロボマスター》を取得しているなら「種別：支援」も選択できる。あなたの《魔獣化》のコストは+1される。,ﾄｲﾛﾎﾞ
AD,トイロボ,絆のエネルギー,なし,1,常時,自動成功,自身,なし,2,あなたは《鋼鉄の絆》(『BBT』P160)で選択した絆から得た愛を、自身が行なう判定の直後に消費することで、その達成値に+10できる。また、あなたが解放状態の間に行なうDRに+[あなたが持つ絆の数]する。,ﾄｲﾛﾎﾞ
AD,トイロボ,リトルギアアームズ,ア,5,常時,自動成功,自身,なし,2,あなたは「種別：乗り物」以外のギアライダー装備から[Lv×2]個を取得可能になる。取得に必要なコストは別途消費すること。それらの攻撃力は-2、G値とA値は-1され(最低0)、ギアライダー装備の乗り物を装備していなくても装備と使用が可能。,ﾄｲﾛﾎﾞ
AD,トイロボ,リリパットタクティクス,魔獣、攻撃,3,メジャー,【白兵】【射撃】,単体,武器,3,対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+【技術B】し、1点でもダメージを与えた場合、さらに[翻弄：あなた]を与える。対象が「種別：巨大」なら、ダメージにさらに+(Lv)D6。,ﾄｲﾛﾎﾞ
AD,トイロボ,クライシスキーバースト,20、魔獣,3,マイナー,自動成功,自身,なし,5,そのメインプロセス中、あなたが行なう攻撃のダメージを+[【技術】×2]する。攻撃後、あなたはこの効果で上昇したダメージと同点の【FP】を失う。1シーンにLv回まで使用できる。,ﾄｲﾛﾎﾞ
AD,トイロボ,バディフォース,純血,1,常時,自動成功,自身,なし,2,あなたは《鋼鉄の絆》で選択した絆から得た愛を、自身が行なうDR直後に消費することで、ダメージに+[【技術】×3]できる。また、あなたの《小さな戦機》の【行動値】への修正を+[Lv×4]に、《トイロボマスター》の効果を+3に変更する。,ﾄｲﾛﾎﾞ
着装者 - 瞬間的に装甲を展開するベルト状の装備：着装機攻システムを装着した者たち。着装機攻システムには、メルキセデク社が極秘に開発して意図的に流出させた物と、ほぼ同様の機構を有する古代の遺跡から発見された物の2種類が裏社会では知られている。(『アドヴェント』にて追加)。,,,,,,,,,,,
AD,着装者,着装機攻,選択、魔獣、ア,1,常時,自動成功,自身,なし,0,《魔獣化》中、あなたは常に以下の防具を装備する。装備していた防具は所持品となる。装備中、【白兵値】【回避値】を+2。あなたの《魔獣化》のコストは+2される。　種別：防具　ドッジ：0　A値：【技術B】　行動値：0　購入：-/-,着装者
AD,着装者,古代戦士,選択、魔獣、ア,1,常時,自動成功,自身,なし,0,あなたは《着装機攻》と同様の効果をすべて得る。ただし、A値は【肉体B】となり、あなたが取得している着装者装備はすべて「種別：遺産」として扱われる。あなたは《着装機攻》を取得できず、《着装機攻》を取得している場合はこのアーツはを取得できない。,着装者
AD,着装者,アームドファイト,攻撃、魔獣,1,メジャー,【白兵】【射撃】,単体,武器,2,対象に着装者装備を使用した白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに、《着装機攻》を取得しているなら+【技術B】、《古代戦士》を取得しているなら+【肉体B】し、クラードに与えるダメージを+1D6する。,着装者
AD,着装者,反救世主殲滅機構,魔獣,5,常時,自動成功,自身,なし,3,《着装機攻》を装備中、「種別：魔界」またはドミニオンアーツを持つキャラクターにあなたが与えるダメージを+(Lv)D6する。《エクセリオンチャージ》を使用したダメージの場合、さらに+2D6する。,着装者
AD,着装者,休息なき宿命,なし,1,メジャー,効果参照,自身,なし,2,あなたが《着装機攻》を取得しているなら【技術】、《古代戦士》を取得しているなら【肉体】で難易度12の判定を行なう。成功した場合、そのシナリオ中、あなたの財産点と【行動値】を+[判定値と同じ【能力値B】]する。1シナリオに1回まで使用できる。,着装者
AD,着装者,最後の勇姿,魔獣,1,効果参照,自動成功,単体,至近,0,《着装機攻》を装備中のみ使用可能。対象の【FP】が0になる直前に使用し、代わりに対象の【FP】を1をする。対象は単体から変更できない。そのシナリオのエンディングフェイズであなたは回避できない真の死となるか、奈落堕ちするかのいずれかを選ぶこと。,着装者
AD,着装者,サクリファイスクライ,魔獣,3,効果参照,自動成功,自身,なし,0,あなたが着装者装備による命中判定を行なう直前に使用する。あなたは[Lv×2]点以下の人間性および同点の【FP】を失い、その攻撃のダメージに+[失った人間性×2]する。,着装者
AD,着装者,着装強制解除,魔獣、防御,1,DR直後,自動成功,自身,なし,4,《着装機攻》を装備中のみ使用可能。あなたが受けるダメージを-[【肉体】+【技術】+4D6]する。1シーン1回まで使用でき、使用後にあなたの《魔獣化》が解除される。また、GMが許可すれば使用後にシーンから退場してもよい(クライマックスフェイズでは不可),着装者
AD,着装者,デバイスコンボ,魔獣,1,効果参照,自動成功,自身,なし,2,取得には《着装機攻》とチェンジデバイスが必要。《ファトンチャージ》と同時に使用する。その効果をさらに+1D6し、ダメージ属性を【肉体】【技術】【感情】【加護】【社会】のいずれかひとつから任意に選んで変更する。,着装者
AD,着装者,天を射貫く者,魔獣,1,判定直後,自動成功,自身,なし,3,取得には《古代戦士》が必要。あなたが単体を対象として行なった射撃攻撃の、命中判定のダイスひとつまたはふたつを振り直す。1シーンに1回まで使用できる。,着装者
AD,着装者,ハイクロックアクセル,魔獣,3,ムーブ,自動成功,自身,なし,5,あなたは通常移動か離脱移動を行ない、そのメインプロセス中、あなたが着装者装備で行なう攻撃の対象を[Lv+2]体に変更する。この効果を受けた上で単体のみに攻撃した場合はダメージを+[Lv×3+3]する。1シーンに1回まで使用できる。,着装者
AD,着装者,フォトンチャージ,魔獣,1,マイナー,自動成功,自身,なし,3,そのメインプロセス中、あなたが着装者装備で行なう攻撃ダメージに+【技術B】し、ダメージ属性を【加護】に変更する。,着装者
AD,着装者,アームドジェノサイダー,20、攻撃、魔獣,5,メジャー,【技術】,範囲,シーン,6,着装者装備の乗り物を装備中のみ使用できる。対象に[【技術】+10+(Lv×2)D6]点のダメージを与える特殊攻撃を行なう。対象は【肉体】でドッジを行ない、1点でもダメージを与えた場合さらに狼狽を与える。1シーンに1回まで使用できる。,着装者
