0,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
,基本,難攻不落,魔獣,3,常時,自動成功,自身,なし,0,取得時に暴走と翻弄以外のBSからLv個選択する。《魔獣化》の効果中、あなたは選択したBSを受けない。あなたの《魔獣化》のコストは+Lvされる。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,不壊の盾,防御,1,DR直後,自動成功,自身,なし,2,取得時に【基本能力値】ひとつを選択する。あなたが受けるダメージを-[選択した【基本能力値】]する。1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,防御専念,なし,5,セットアップ,自動成功,自身,なし,1,そのラウンド中、あなたのA値を+[Lv×3]し、あなたは「種別：攻撃」のアーツを使用できない,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,連携攻撃,支援,5,DR直前,自動成功,単体,至近,1,あなた以外の対象が行なうDRに+[Lv×3]する。1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,レンジドカバー,なし,1,効果参照,自動成功,自身,なし,2,《守護の盾》と同時に使用する。そのカバーリングを「射程：シーン」に変更する。1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,完全対応,なし,1,判定直前,自動成功,自身,なし,2,特殊攻撃に対するドッジを行なう際に使用する。あなたはその判定を任意の【基本能力値】で行える。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,攻防一体,支援,1,DR直前,自動成功,単体,至近,5,あなた以外の対象が行なうDRに+[あなたの最も高いA値]する。1シーン1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,戦場睥睨,なし,3,効果参照,自動成功,自身,なし,2,あなたが待機を宣言すると同時に使用する。そのラウンド中、あなたが行なうリアクションの達成値を+[Lv+1]。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,戦闘即応,なし,1,セットアップ,自動成功,自身,なし,2,あなたは「タイミング：セットアップ」のアーツをふたつ使用できる。ただし、最低1回はディフェンダーのアーツを使用すること。また、アーツを複数回使用できるようなアーツは使用できない。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,ゾーンオブコントロール,なし,1,マイナー,自動成功,自身,なし,2,あなたのエンゲージを封鎖する。この効果は、あなたが現在のエンゲージを離れるまで持続する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,立ちはだかる壁,なし,1,判定直後,自動成功,単体,至近,1,対象が行なった判定の達成値を-3する。1ラウンド1回、[翻弄：あなた]を受けている対象には「射程：シーン」として使用できる。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,不撓不屈,なし,1,常時,自動成功,自身,なし,2,あなたが解放状態になった時に回復する【FP】を[【肉体】+20]に変更し、罪の効果の「◆復活」によって回復する【FP】を[【加護】+20]に変更する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,ブロッキング,なし,1,効果参照,自動成功,自身,なし,1,特殊攻撃に対するリアクションの直前に使用する。あなたはその特殊攻撃に対してガードを行なうことができる。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,ボディガード,なし,1,セットアップ,自動成功,単体,至近,2,あなたは同意した対象と同調状態になる。この同調状態の間、対象が行なうドッジの達成値に+2する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,八重垣,なし,3,リアクション,自動成功,自身,なし,3,あなたはガードを行なう。この時、ガードに使用したアイテムひとつのG値を2倍にして効果を計算する。1ラウンドLv回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,リヴェンジトラップ,なし,1,リアクション,【回避値】,自身,なし,3,あなたは白兵か射撃攻撃に対するドッジを行なう。対決に勝利した場合、攻撃を行なったキャラクターは[あなたのドッジの達成値-命中判定の達成値]点の【FP】を失う。1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,ルアーリング,なし,1,効果参照,自動成功,単体,至近,3,対象が、あなたを対象に含まない攻撃の対象となった際に使用する。その攻撃の対象をあなたに変更する。1メインプロセス1回。そのメインプロセス中はカバーリングを行えない。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,レンジドルアー,なし,1,効果参照,自動成功,自身,なし,2,《ルアーリング》と同時に使用する。その《ルアーリング》を「射程：シーン」に変更する。1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,エキスパートガーダー,20,1,効果参照,自動成功,自身,なし,愛,いつでも使用できる。あなたが取得している、使用回数に制限があるアーツひとつの使用回数を1回分回復する。ただし「1シナリオn回」の制限があるアーツの使用回数は回復できない。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DE,基本,守護神,純血,1,判定直前,自動成功,単体,シーン,罪,対象が行なった攻撃の命中判定直前に使用する。その対象をあなたひとりに変更する。1シナリオ1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,機会攻撃,なし,3,効果参照,自動成功,単体,シーン,3,対象があなたと同じエンゲージから離脱移動を行なった直後に使用する。対象は[あなたのもっとも高い【基本能力値】+1D6]点の【FP】を失う。1ラウンドにLV回まで使用できる。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,希望の城,なし,1,効果参照,自動成功,シーン,シーン,3,あなたにダメージが適用され、その結果かりそめの死にも真の死にもならなかった直後に使用する。あなた以外の対象がそのシーン中に行なうDRに+1D6.,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,グレートタフネス,なし,3,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたの【FP】とFP最大値を+[Lv×10]する。あなたの《魔獣化》コストは+1される。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,血路開拓,なし,3,イニシアチブ,自動成功,単体,シーン,4,同意した対象を、即座にあなたと同じエンゲージまで移動させる。この時、離脱移動を行わせることもできる。1シーンLv回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,盾を剣に,なし,1,DR直前,自動成功,単体,至近,4,あなた以外の対象が行なうDRに+[あなたが装備中の武器一つのG値]する。1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,頼もしき存在,なし,3,常時,自動成功,自身,なし,2,あなたと同調状態になっている他のキャラクターが行なう命中判定に+Lv、DRに+1D6。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,ビーストアウェイク：D,なし,1,マイナー,自動成功,自身,なし,効果参照,このアーツのコストは[1D6+5]となり、使用時に決定される。そのラウンドの間、あなたが受けるダメージを-[このアーツのコスト]し、あなたは束縛を受ける。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,ヘヴィアーマー,なし,3,常時,自動成功,自身,なし,1,あなたが装備する防具の行動値修正を+[Lv×2]する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,未到の瞬刻,なし,3,効果参照,自動成功,自身,なし,4,あなたが防御判定を行なった直後に使用する。そのダイス目を+1する。結果、クリティカル値以上となった場合はクリティカルが発生する。1シナリオLv回まで。1回の判定に重複して使用可能。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,流血の代償,なし,3,効果参照,自動成功,自身,なし,3,あなたがガードを行なう際に使用する。攻撃側のキャラクターは[ガードに使用した武器一つのG値+1D6]点の【FP】を攻撃後に失う。1ラウンドLv回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,アンブレイカブル,なし,3,効果参照,自動成功,自身,なし,愛,実ダメージ算出の際に使用する。そのDRにおいて、あなたのA値とG値を低下させたり0にしたりする効果が適用された場合でも、あなたは通常通りA値とG値を適用できる。1シナリオLv回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,赤く染まりし盾,なし,3,DR直後,自動成功,単体,シーン,効果参照,[Lv×10]点以下の任意の人間性をコストとして消費し、対象が行なった攻撃のダメージを[消費した人間性]点軽減する。1シーン1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,アルティメットガーダー,なし,1,効果参照,自動成功,自身,なし,10,《エキスパートガーダー》と同時に使用する。あなたはその効果を「1シナリオn回」という制限のあるアーツにも適用できる。1シナリオ1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,不滅なるもの,なし,1,効果参照,自動成功,自身,なし,愛,あなたにダメージが適用された直後に使用する。そのダメージを0にする。1シナリオ1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
DO,基本,阻む者の勇姿,なし,3,効果参照,自動成功,シーン,シーン,8,あなたが《エゴを阻む者》を使用した直後に使用する。対象の【FP】を[あなたの最も高い【基本能力値】×3+(Lv×2)D6]点回復し、BSをすべて解除する。解放状態でも【FP】を回復できる。,ﾃﾞｨﾌｪﾝﾀﾞｰ
AD,基本,絶無の領域,魔獣,1,効果参照,自動成功,自身,なし,2,あなたが解放状態となった直後に使用する。そのシーン中、あなたが行なうリアクションの達成値を+5する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
AD,基本,デコイタクティクス,なし,3,常時,自動成功,自身,なし,2,[翻弄：あなた]または[恐怖：あなた]を受けているキャラクターが、攻撃で受けるダメージを+(Lv)D6する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
AD,基本,身代わりの獣,なし,1,効果参照,自動成功,単体,シーン,愛,対象に実ダメージが適用される際に使用する。その実ダメージは対象の代わりにあなたに適用される。このアーツは対象を単体から変更できず、1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
AD,基本,誘引戦法,魔獣、攻撃,1,メジャー,白兵、射撃,単体,武器,3,対象に白兵攻撃か射撃攻撃を行なう。この攻撃が命中した場合、対象に[翻弄：あなた]を与え、次に対象があなた以外の行なう攻撃から受けるダメージを+[あなたの最も高い【基本能力値】]する(1回でも効果を発揮するか、シーンが終了すると解除)。,ﾃﾞｨﾌｪﾝﾀﾞｰ
AD,基本,イモータルビースト,純血、魔獣,1,解放状態,自動成功,自身,なし,3,解放状態の間、あなたに適用される実ダメージを最終的に半分(端数切り上げ)として計算する。ただしA値を0として扱うダメージに対しては効果がない。,ﾃﾞｨﾌｪﾝﾀﾞｰ
